Year,PPP,GDP,vector_1,vector_2,vector_3,vector_4,vector_5
1981,1.408056,1.96E+11,0.100003481,0.100004263,0.100065716,0.100020111,0.599906445
1982,1.324266,2.05E+11,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003
1983,1.289093,2.31E+11,0.092599005,0.552755415,0.166161418,0.095321476,0.093162693
1984,1.305713,2.60E+11,0.100043222,0.599701762,0.100171596,0.100014508,0.100068919
1985,1.394914,3.09E+11,0.082919635,0.350074261,0.399832487,0.083996743,0.083176851
1986,1.43123,3.01E+11,0.100043163,0.599705696,0.100167871,0.100014493,0.10006877
1987,1.46767,2.73E+11,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003
1988,1.58932,3.12E+11,0.100043193,0.599704087,0.100169435,0.1000145,0.100068808
1989,1.660909,3.48E+11,0.267549187,0.082896054,0.482541502,0.083701871,0.083311386
1990,1.692148,3.61E+11,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003
1991,1.746699,3.83E+11,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003
1992,1.847653,4.27E+11,0.100003481,0.100004263,0.100065663,0.100020111,0.599906504
1993,2.078978,4.45E+11,0.077464178,0.073236361,0.230987176,0.077500053,0.540812254
1994,2.455173,5.64E+11,0.599076569,0.100005232,0.10066171,0.100023136,0.100233331
1995,2.733376,7.35E+11,0.088975057,0.085419193,0.085452057,0.087371908,0.652781725
1996,2.858882,8.64E+11,0.151969075,0.153923392,0.074708074,0.074724279,0.544675231
1997,2.855852,9.62E+11,0.666820049,0.082881123,0.083114356,0.08377856,0.08340589
1998,2.798643,1.03E+12,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003
1999,2.723965,1.09E+12,0.100003518,0.100022681,0.598392785,0.10130626,0.100274742
2000,2.719364,1.21E+12,0.079376571,0.207022712,0.076488934,0.077989407,0.559122384
2001,2.715469,1.34E+12,0.100003481,0.100004263,0.100065656,0.100020111,0.599906504
2002,2.689281,1.47E+12,0.093425386,0.080196239,0.102873117,0.082507506,0.640997708
2003,2.70898,1.66E+12,0.082980968,0.076758884,0.098497152,0.079952486,0.661810517
2004,2.821351,1.96E+12,0.08291965,0.358419895,0.083096936,0.082907416,0.392656118
2005,2.842933,2.29E+12,0.100003518,0.100022666,0.598409712,0.101289533,0.100274548
2006,2.867778,2.75E+12,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003
2007,3.009186,3.55E+12,0.100043185,0.599704623,0.100168861,0.100014493,0.100068808
2008,3.181871,4.59E+12,0.599079847,0.100005239,0.100658573,0.100023136,0.100233249
2009,3.151181,5.10E+12,0.666814446,0.082881123,0.083114415,0.083783887,0.083406121
2010,3.329232,6.09E+12,0.666819215,0.08288113,0.083114363,0.083779328,0.083405972
2011,3.524468,7.55E+12,0.100003503,0.100022644,0.59841609,0.101283252,0.100274459
2012,3.560968,8.53E+12,0.100003518,0.100022681,0.598394513,0.101304568,0.100274727
2013,3.663645,9.57E+12,0.599083483,0.100005232,0.100655027,0.100023128,0.100233153
2014,3.75885,1.05E+13,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003
2015,3.870697,1.11E+13,0.59641397,0.100008234,0.100008093,0.1024222,0.101147562
2016,3.988837,1.12E+13,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003
2017,4.183811,1.23E+13,0.100043185,0.599704802,0.100168735,0.100014493,0.100068778
2018,4.227258,1.39E+13,0.506294668,0.272260159,0.073603615,0.074062839,0.073778689
