Year,PPP,Exchange,GDP,vector_1,vector_2
1981,1.134429,1.198903121,3.06E+11,0.263958544,0.736041486
1982,1.162983,1.233734912,3.14E+11,0.5,0.5
1983,1.183882,1.232411827,3.41E+11,0.731138527,0.268861502
1984,1.183059,1.295065611,3.55E+11,0.702539623,0.297460407
1985,1.18508,1.365507392,3.65E+11,0.77132237,0.22867766
1986,1.197798,1.389471059,3.77E+11,0.702399313,0.297600687
1987,1.224895,1.325982582,4.31E+11,0.5,0.5
1988,1.236884,1.230700847,5.07E+11,0.70248878,0.29751122
1989,1.246188,1.183972084,5.65E+11,0.698563874,0.301436126
1990,1.241965,1.166773627,5.94E+11,0.5,0.5
1991,1.237998,1.145725844,6.10E+11,0.5,0.5
1992,1.228098,1.20872292,5.92E+11,0.263972789,0.736027241
1993,1.215102,1.290087882,5.77E+11,0.414792955,0.585206985
1994,1.20701,1.365673448,5.78E+11,0.326416612,0.673583388
1995,1.208841,1.372445418,6.04E+11,0.231029734,0.768970311
1996,1.207821,1.363521636,6.29E+11,0.230302677,0.769697309
1997,1.200974,1.384598028,6.53E+11,0.251393974,0.748605967
1998,1.185448,1.483505302,6.32E+11,0.5,0.5
1999,1.19081,1.485704819,6.76E+11,0.739389598,0.260610372
2000,1.227563,1.485394095,7.42E+11,0.248858869,0.751141131
2001,1.221139,1.548839955,7.36E+11,0.263966888,0.736033082
2002,1.229333,1.570342834,7.58E+11,0.322543979,0.677456021
2003,1.226338,1.401014548,8.92E+11,0.327183366,0.672816694
2004,1.233195,1.301281595,1.02E+12,0.358685911,0.641314089
2005,1.213644,1.211405134,1.17E+12,0.739387095,0.260612905
2006,1.205778,1.134344726,1.32E+12,0.5,0.5
2007,1.212706,1.074045622,1.46E+12,0.702409446,0.297590554
2008,1.23439,1.067086918,1.55E+12,0.326362461,0.673637569
2009,1.201369,1.141535406,1.37E+12,0.251483917,0.748516023
2010,1.221371,1.030112735,1.61E+12,0.251509339,0.748490691
2011,1.239904,0.989258159,1.79E+12,0.739388704,0.260611326
2012,1.244607,0.999364744,1.83E+12,0.739382386,0.260617673
2013,1.224,1.030137364,1.85E+12,0.326407492,0.673592508
2014,1.230358,1.104747132,1.80E+12,0.5,0.5
2015,1.248042,1.278786204,1.56E+12,0.285176218,0.714823842
2016,1.207045,1.325615164,1.53E+12,0.5,0.5
2017,1.212304,1.297935846,1.65E+12,0.702364802,0.297635198
2018,1.198165,1.295817928,1.72E+12,0.342927456,0.657072484
