Year,PPP,Exchange,GDP,vector_1,vector_2
1981,1.892582,1.964241666,1.09E+11,0.263958544,0.736041486
1982,1.913434,2.030274999,1.12E+11,0.5,0.5
1983,1.884895,2.099141666,1.11E+11,0.731138527,0.268861502
1984,1.887659,2.349683333,1.06E+11,0.702539623,0.297460407
1985,1.871343,2.457125,1.08E+11,0.77132237,0.22867766
1986,1.890066,1.798916667,1.54E+11,0.702399313,0.297600687
1987,1.88492,1.491191667,1.93E+11,0.5,0.5
1988,1.871498,1.4633,2.09E+11,0.70248878,0.29751122
1989,1.86318,1.635925,2.02E+11,0.698563874,0.301436126
1990,1.936289,1.389158333,2.58E+11,0.5,0.5
1991,1.97426,1.433991667,2.61E+11,0.5,0.5
1992,1.971282,1.406218333,2.72E+11,0.263972789,0.736027241
1993,1.970372,1.477616667,2.64E+11,0.414792955,0.585206985
1994,1.952026,1.3676925,2.93E+11,0.326416612,0.673583388
1995,1.926041,1.182469167,3.43E+11,0.231029734,0.768970311
1996,1.891189,1.23601,3.30E+11,0.230302677,0.769697309
1997,1.844334,1.4513125,2.87E+11,0.251393974,0.748605967
1998,1.827663,1.449813308,2.95E+11,0.5,0.5
1999,1.802836,1.502155,2.90E+11,0.739389598,0.260610372
2000,1.788109,1.6888425,2.72E+11,0.248858869,0.751141131
2001,1.768379,1.687615,2.79E+11,0.263966888,0.736033082
2002,1.70976,1.5586075,3.01E+11,0.322543979,0.677456021
2003,1.717018,1.346650833,3.53E+11,0.327183366,0.672816694
2004,1.693209,1.243495833,3.94E+11,0.358685911,0.641314089
2005,1.686548,1.245176667,4.09E+11,0.739387095,0.260612905
2006,1.600989,1.253843333,4.31E+11,0.5,0.5
2007,1.533994,1.200365833,4.80E+11,0.702409446,0.297590554
2008,1.493049,1.08309,5.54E+11,0.326362461,0.673637569
2009,1.46898,1.088141696,5.42E+11,0.251483917,0.748516023
2010,1.464944,1.042905646,5.84E+11,0.251509339,0.748490691
2011,1.397498,0.888042028,7.00E+11,0.739388704,0.260611326
2012,1.354072,0.937684481,6.68E+11,0.739382386,0.260617673
2013,1.312477,0.926903548,6.89E+11,0.326407492,0.673592508
2014,1.281761,0.916151047,7.09E+11,0.5,0.5
2015,1.235788,0.962381328,6.80E+11,0.285176218,0.714823842
2016,1.201964,0.985394394,6.71E+11,0.5,0.5
2017,1.187726,0.984691667,6.80E+11,0.702364802,0.297635198
2018,1.17868,0.977883333,7.05E+11,0.342927456,0.657072484
