Year,PPP,Exchange,GDP,vector_1,vector_2
1981,0.511874,0.497641332,5.41E+11,0.263958544,0.736041486
1982,0.517855,0.572446832,5.15E+11,0.5,0.5
1983,0.523865,0.659724582,4.90E+11,0.731138527,0.268861502
1984,0.531057,0.751806666,4.61E+11,0.702539623,0.297460407
1985,0.54315,0.779246,4.89E+11,0.77132237,0.22867766
1986,0.55551,0.682197333,6.01E+11,0.702399313,0.297600687
1987,0.5716,0.6119265,7.45E+11,0.5,0.5
1988,0.585987,0.562170167,9.10E+11,0.70248878,0.29751122
1989,0.60863,0.61117275,9.27E+11,0.698563874,0.301436126
1990,0.632935,0.563177167,1.09E+12,0.5,0.5
1991,0.65153,0.567015333,1.14E+12,0.5,0.5
1992,0.658168,0.569774167,1.18E+12,0.263972789,0.736027241
1993,0.660507,0.666756553,1.06E+12,0.414792955,0.585206985
1994,0.65571,0.653426604,1.14E+12,0.326416612,0.673583388
1995,0.714632,0.63366812,1.34E+12,0.231029734,0.768970311
1996,0.714617,0.640958255,1.42E+12,0.230302677,0.769697309
1997,0.708919,0.610836114,1.56E+12,0.251393974,0.748605967
1998,0.720742,0.603823594,1.65E+12,0.5,0.5
1999,0.725819,0.618056845,1.68E+12,0.739389598,0.260610372
2000,0.704306,0.660930833,1.66E+12,0.248858869,0.751141131
2001,0.694382,0.694655,1.64E+12,0.263966888,0.736033082
2002,0.689877,0.667223333,1.78E+12,0.322543979,0.677456021
2003,0.696596,0.6124725,2.05E+12,0.327183366,0.672816694
2004,0.68841,0.54618,2.42E+12,0.358685911,0.641314089
2005,0.707619,0.549998333,2.54E+12,0.739387095,0.260612905
2006,0.69742,0.543486667,2.71E+12,0.5,0.5
2007,0.7101,0.499771667,3.10E+12,0.702409446,0.297590554
2008,0.701691,0.54396625,2.92E+12,0.326362461,0.673637569
2009,0.709551,0.641919263,2.41E+12,0.251483917,0.748516023
2010,0.701707,0.647179346,2.48E+12,0.251509339,0.748490691
2011,0.706052,0.624140836,2.66E+12,0.739388704,0.260611326
2012,0.701634,0.633046989,2.70E+12,0.739382386,0.260617673
2013,0.695248,0.639660578,2.79E+12,0.326407492,0.673592508
2014,0.698444,0.607729627,3.06E+12,0.5,0.5
2015,0.692551,0.654545479,2.93E+12,0.285176218,0.714823842
2016,0.688603,0.740634464,2.69E+12,0.5,0.5
2017,0.684601,0.776976682,2.67E+12,0.702364802,0.297635198
2018,0.683551,0.74953154,2.86E+12,0.342927456,0.657072484
