Year,PPP,Exchange,GDP,vector_1,vector_2,vector_3,vector_4,vector_5,vector_6,vector_7,vector_8,vector_9,vector_10
1981,1.134429,1.198903121,3.06E+11,0.050000004,0.050000004,0.050000001,0.549967468,0.050020501,0.050007582,0.050004419,0.050000001,0.050000001,0.050000001
1982,1.162983,1.233734912,3.14E+11,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001
1983,1.183882,1.232411827,3.41E+11,0.046312362,0.046289951,0.046276376,0.046282955,0.046281639,0.046276417,0.046279252,0.046276379,0.583186686,0.046537977
1984,1.183059,1.295065611,3.55E+11,0.050000004,0.050000001,0.050000001,0.050005119,0.050000001,0.050000053,0.050000146,0.050000001,0.549994707,0.050000001
1985,1.18508,1.365507392,3.65E+11,0.041442785,0.041439794,0.041437969,0.041443393,0.041438676,0.041438021,0.041438486,0.041437969,0.32851848,0.33996442
1986,1.197798,1.389471059,3.77E+11,0.050000004,0.050000001,0.050000001,0.050005127,0.050000001,0.050000053,0.050000146,0.050000001,0.549994707,0.050000001
1987,1.224895,1.325982582,4.31E+11,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001
1988,1.236884,1.230700847,5.07E+11,0.050000004,0.050000001,0.050000001,0.050007649,0.050000001,0.050000053,0.050000146,0.050000001,0.549992204,0.050000001
1989,1.246188,1.183972084,5.65E+11,0.041442763,0.041441482,0.041451663,0.041439004,0.041438807,0.041438989,0.041439872,0.323390782,0.041438453,0.34507814
1990,1.241965,1.166773627,5.94E+11,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001
1991,1.237998,1.145725844,6.10E+11,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001
1992,1.228098,1.20872292,5.92E+11,0.050000008,0.050000008,0.050000004,0.549963236,0.050024748,0.050007608,0.050004434,0.050000004,0.050000004,0.050000004
1993,1.215102,1.290087882,5.77E+11,0.036607832,0.036604546,0.036620226,0.036611211,0.481612295,0.036613401,0.036606539,0.036602538,0.036603138,0.225518256
1994,1.20701,1.365673448,5.78E+11,0.050000004,0.05000167,0.0500101,0.050000653,0.050000135,0.050000995,0.050001502,0.549984872,0.050000079,0.050000001
1995,1.208841,1.372445418,6.04E+11,0.0427051,0.0427051,0.042718671,0.042719387,0.615611315,0.042715836,0.042709194,0.042705096,0.042705216,0.042705096
1996,1.207821,1.363521636,6.29E+11,0.036892574,0.03689437,0.224601984,0.480181098,0.036909148,0.036904369,0.036898181,0.036917243,0.036908455,0.036892567
1997,1.200974,1.384598028,6.53E+11,0.041437976,0.041439302,0.627026558,0.041438494,0.041441765,0.041442826,0.041440163,0.041456848,0.041438114,0.041437972
1998,1.185448,1.483505302,6.32E+11,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001
1999,1.19081,1.485704819,6.76E+11,0.050004922,0.050001863,0.050000001,0.050000384,0.050000723,0.050000001,0.050000381,0.050000001,0.050000414,0.54999131
2000,1.227563,1.485394095,7.42E+11,0.038130507,0.038130503,0.038154274,0.356684774,0.338188291,0.038145214,0.038135488,0.038130499,0.038169943,0.038130499
2001,1.221139,1.548839955,7.36E+11,0.049999997,0.049999997,0.049999993,0.549963057,0.050024897,0.050007597,0.050004423,0.049999993,0.049999993,0.049999993
2002,1.229333,1.570342834,7.58E+11,0.040088315,0.040088449,0.040130474,0.553140342,0.040086918,0.040082969,0.040085312,0.040205315,0.040075123,0.126016736
2003,1.226338,1.401014548,8.92E+11,0.038378056,0.038383428,0.038479548,0.03837407,0.654131532,0.038371906,0.038376864,0.038639419,0.038358215,0.038506933
2004,1.233195,1.301281595,1.02E+12,0.041437972,0.041437972,0.041437969,0.627009034,0.041445646,0.041440919,0.041439869,0.041437969,0.041474719,0.041437969
2005,1.213644,1.211405134,1.17E+12,0.050004952,0.050001867,0.050000004,0.050000388,0.050000727,0.050000004,0.050000384,0.050000004,0.050000418,0.54999131
