Year,PPP,Exchange,GDP,vector_1,vector_2,vector_3,vector_4,vector_5,vector_6,vector_7,vector_8,vector_9,vector_10
1981,3.379142,8.658522817,1.93E+11,0.050000004,0.050000004,0.050000001,0.549967468,0.050020501,0.050007582,0.050004419,0.050000001,0.050000001,0.050000001
1982,3.429847,9.455131933,2.01E+11,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001
1983,3.596462,10.09889824,2.18E+11,0.046312362,0.046289951,0.046276376,0.046282955,0.046281639,0.046276417,0.046279252,0.046276379,0.583186686,0.046537977
1984,3.732936,11.36258333,2.12E+11,0.050000004,0.050000001,0.050000001,0.050005119,0.050000001,0.050000053,0.050000146,0.050000001,0.549994707,0.050000001
1985,3.85735,12.36875,2.33E+11,0.041442785,0.041439794,0.041437969,0.041443393,0.041438676,0.041438021,0.041438486,0.041437969,0.32851848,0.33996442
1986,4.421835,12.61083333,2.49E+11,0.050000004,0.050000001,0.050000001,0.050005127,0.050000001,0.050000053,0.050000146,0.050000001,0.549994707,0.050000001
1987,4.717656,12.9615,2.79E+11,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001
1988,4.932062,13.91708333,2.97E+11,0.050000004,0.050000001,0.050000001,0.050007649,0.050000001,0.050000053,0.050000146,0.050000001,0.549992204,0.050000001
1989,5.146414,16.2255,2.96E+11,0.041442763,0.041441482,0.041451663,0.041439004,0.041438807,0.041438989,0.041439872,0.323390782,0.041438453,0.34507814
1990,5.489942,17.5035,3.21E+11,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001
1991,6.040629,22.74243333,2.70E+11,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001
1992,6.435521,25.91808333,2.88E+11,0.050000008,0.050000008,0.050000004,0.549963236,0.050024748,0.050007608,0.050004434,0.050000004,0.050000004,0.050000004
1993,6.906543,30.49329167,2.79E+11,0.036607832,0.036604546,0.036620226,0.036611211,0.481612295,0.036613401,0.036606539,0.036602538,0.036603138,0.225518256
1994,7.437011,31.3737425,3.27E+11,0.050000004,0.05000167,0.0500101,0.050000653,0.050000135,0.050000995,0.050001502,0.549984872,0.050000079,0.050000001
1995,7.944424,32.42707667,3.60E+11,0.0427051,0.0427051,0.042718671,0.042719387,0.615611315,0.042715836,0.042709194,0.042705096,0.042705216,0.042705096
1996,8.392545,35.43317333,3.93E+11,0.036892574,0.03689437,0.224601984,0.480181098,0.036909148,0.036904369,0.036898181,0.036917243,0.036908455,0.036892567
1997,8.784588,36.31328583,4.16E+11,0.041437976,0.041439302,0.627026558,0.041438494,0.041441765,0.041442826,0.041440163,0.041456848,0.041438114,0.041437972
1998,9.382645,41.259365,4.21E+11,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001
1999,9.532905,43.05542833,4.59E+11,0.050004922,0.050001863,0.050000001,0.050000384,0.050000723,0.050000001,0.050000381,0.050000001,0.050000414,0.54999131
2000,9.664333,44.941605,4.68E+11,0.038130507,0.038130503,0.038154274,0.356684774,0.338188291,0.038145214,0.038135488,0.038130499,0.038169943,0.038130499
2001,9.761001,47.18641417,4.85E+11,0.049999997,0.049999997,0.049999993,0.549963057,0.050024897,0.050007597,0.050004423,0.049999993,0.049999993,0.049999993
2002,9.966049,48.61031917,5.15E+11,0.040088315,0.040088449,0.040130474,0.553140342,0.040086918,0.040082969,0.040085312,0.040205315,0.040075123,0.126016736
2003,10.162784,46.58328417,6.08E+11,0.038378056,0.038383428,0.038479548,0.03837407,0.654131532,0.038371906,0.038376864,0.038639419,0.038358215,0.038506933
2004,10.46296,45.31646667,7.09E+11,0.041437972,0.041437972,0.041437969,0.627009034,0.041445646,0.041440919,0.041439869,0.041437969,0.041474719,0.041437969
2005,10.717338,44.099975,8.20E+11,0.050004952,0.050001867,0.050000004,0.050000388,0.050000727,0.050000004,0.050000384,0.050000004,0.050000418,0.54999131
2006,11.276447,45.30700833,9.40E+11,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001
2007,11.744053,41.34853333,1.22E+12,0.050000004,0.050000001,0.050000001,0.050005116,0.050000001,0.050000053,0.050000146,0.050000001,0.549994707,0.050000001
2008,12.579117,43.50518333,1.20E+12,0.050000004,0.05000167,0.050010685,0.050000653,0.050000135,0.050000999,0.050001502,0.549984276,0.050000079,0.050000001
2009,13.362861,48.40526667,1.34E+12,0.041437972,0.041439299,0.627027094,0.04143849,0.041441761,0.041442823,0.041440159,0.041456319,0.04143811,0.041437969
2010,14.599321,45.72581212,1.68E+12,0.041437976,0.041439302,0.627027214,0.041438494,0.041441761,0.041442823,0.041440163,0.041456193,0.041438114,0.041437972
2011,15.549549,46.67046667,1.82E+12,0.050004918,0.050001863,0.050000001,0.050000384,0.050000723,0.050000001,0.050000381,0.050000001,0.050000414,0.54999131
2012,16.160835,53.43723333,1.83E+12,0.050004929,0.050001863,0.050000001,0.050000384,0.050000723,0.050000001,0.050000381,0.050000001,0.050000414,0.54999131
2013,17.342325,58.59784542,1.86E+12,0.050000004,0.05000167,0.050010063,0.050000653,0.050000135,0.050000995,0.050001502,0.549984932,0.050000079,0.050000001
2014,18.386549,61.02951446,2.04E+12,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001
2015,19.235003,64.15194446,2.10E+12,0.050000004,0.050000004,0.549970567,0.050000001,0.050011355,0.050015271,0.050002649,0.050000001,0.050000202,0.050000001
2016,19.898727,67.19531281,2.29E+12,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001
2017,20.647793,65.12156865,2.65E+12,0.050000004,0.050000001,0.050000001,0.050005119,0.050000001,0.050000053,0.050000146,0.050000001,0.549994707,0.050000001
2018,21.075024,68.38946709,2.71E+12,0.036617026,0.036618277,0.463246346,0.036622673,0.036620598,0.036621653,0.036619235,0.036634833,0.243782297,0.036617022
