Year,PPP,Exchange,GDP,vector_1,vector_2,vector_3,vector_4,vector_5,vector_6,vector_7,vector_8,vector_9,vector_10
1981,228.831006,220.5358333,1.22E+12,0.050000004,0.050000004,0.050000001,0.549967468,0.050020501,0.050007582,0.050004419,0.050000001,0.050000001,0.050000001
1982,219.276639,249.0766667,1.13E+12,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001
1983,213.007241,237.5116667,1.24E+12,0.046312362,0.046289951,0.046276376,0.046282955,0.046281639,0.046276417,0.046279252,0.046276379,0.583186686,0.046537977
1984,208.619258,237.5225,1.32E+12,0.050000004,0.050000001,0.050000001,0.050005119,0.050000001,0.050000053,0.050000146,0.050000001,0.549994707,0.050000001
1985,204.772357,238.5358333,1.40E+12,0.041442785,0.041439794,0.041437969,0.041443393,0.041438676,0.041438021,0.041438486,0.041437969,0.32851848,0.33996442
1986,203.966037,168.5198333,2.08E+12,0.050000004,0.050000001,0.050000001,0.050005127,0.050000001,0.050000053,0.050000146,0.050000001,0.549994707,0.050000001
1987,198.730394,144.6375,2.53E+12,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001
1988,193.159463,128.1516667,3.07E+12,0.050000004,0.050000001,0.050000001,0.050007649,0.050000001,0.050000053,0.050000146,0.050000001,0.549992204,0.050000001
1989,189.792476,137.9644167,3.05E+12,0.041442763,0.041441482,0.041451663,0.041439004,0.041438807,0.041438989,0.041439872,0.323390782,0.041438453,0.34507814
1990,187.710514,144.7925,3.13E+12,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001
1991,186.886354,134.7066667,3.58E+12,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001
1992,185.767602,126.6513333,3.91E+12,0.050000008,0.050000008,0.050000004,0.549963236,0.050024748,0.050007608,0.050004434,0.050000004,0.050000004,0.050000004
1993,182.499528,111.1977858,4.45E+12,0.036607832,0.036604546,0.036620226,0.036611211,0.481612295,0.036613401,0.036606539,0.036602538,0.036603138,0.225518256
1994,179.158384,102.2078058,4.91E+12,0.050000004,0.05000167,0.0500101,0.050000653,0.050000135,0.050000995,0.050001502,0.549984872,0.050000079,0.050000001
1995,174.542779,94.05957917,5.45E+12,0.0427051,0.0427051,0.042718671,0.042719387,0.615611315,0.042715836,0.042709194,0.042705096,0.042705216,0.042705096
1996,170.553311,108.7790567,4.83E+12,0.036892574,0.03689437,0.224601984,0.480181098,0.036909148,0.036904369,0.036898181,0.036917243,0.036908455,0.036892567
1997,168.506941,120.9908625,4.41E+12,0.041437976,0.041439302,0.627026558,0.041438494,0.041441765,0.041442826,0.041440163,0.041456848,0.041438114,0.041437972
1998,166.556261,130.9053007,4.03E+12,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001
1999,162.03574,113.906805,4.56E+12,0.050004922,0.050001863,0.050000001,0.050000384,0.050000723,0.050000001,0.050000381,0.050000001,0.050000414,0.54999131
2000,154.717851,107.7654983,4.89E+12,0.038130507,0.038130503,0.038154274,0.356684774,0.338188291,0.038145214,0.038135488,0.038130499,0.038169943,0.038130499
2001,149.724877,121.5289475,4.30E+12,0.049999997,0.049999997,0.049999993,0.549963057,0.050024897,0.050007597,0.050004423,0.049999993,0.049999993,0.049999993
2002,143.774205,125.3880192,4.12E+12,0.040088315,0.040088449,0.040130474,0.553140342,0.040086918,0.040082969,0.040085312,0.040205315,0.040075123,0.126016736
2003,139.516091,115.9334642,4.45E+12,0.038378056,0.038383428,0.038479548,0.03837407,0.654131532,0.038371906,0.038376864,0.038639419,0.038358215,0.038506933
2004,134.363066,108.1925692,4.82E+12,0.041437972,0.041437972,0.041437969,0.627009034,0.041445646,0.041440919,0.041439869,0.041437969,0.041474719,0.041437969
2005,129.551955,110.2182117,4.76E+12,0.050004952,0.050001867,0.050000004,0.050000388,0.050000727,0.050000004,0.050000384,0.050000004,0.050000418,0.54999131
2006,124.536829,116.2993117,4.53E+12,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001
2007,120.394201,117.7535292,4.52E+12,0.050000004,0.050000001,0.050000001,0.050005116,0.050000001,0.050000053,0.050000146,0.050000001,0.549994707,0.050000001
2008,116.845814,103.359494,5.04E+12,0.050000004,0.05000167,0.050010685,0.050000653,0.050000135,0.050000999,0.050001502,0.549984276,0.050000079,0.050000001
2009,115.150066,93.57008909,5.23E+12,0.041437972,0.041439299,0.627027094,0.04143849,0.041441761,0.041442823,0.041440159,0.041456319,0.04143811,0.041437969
2010,111.666587,87.779875,5.70E+12,0.041437976,0.041439302,0.627027214,0.041438494,0.041441761,0.041442823,0.041440163,0.041456193,0.041438114,0.041437972
2011,107.454281,79.80701983,6.16E+12,0.050004918,0.050001863,0.050000001,0.050000384,0.050000723,0.050000001,0.050000381,0.050000001,0.050000414,0.54999131
2012,104.273972,79.79045542,6.20E+12,0.050004929,0.050001863,0.050000001,0.050000384,0.050000723,0.050000001,0.050000381,0.050000001,0.050000414,0.54999131
2013,101.302673,97.59565828,5.16E+12,0.050000004,0.05000167,0.050010063,0.050000653,0.050000135,0.050000995,0.050001502,0.549984932,0.050000079,0.050000001
2014,103.052076,105.944781,4.85E+12,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001
2015,103.469437,121.0440257,4.39E+12,0.050000004,0.050000004,0.549970567,0.050000001,0.050011355,0.050015271,0.050002649,0.050000001,0.050000202,0.050000001
2016,105.519502,108.7929,4.92E+12,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001
2017,105.101901,112.1661411,4.87E+12,0.050000004,0.050000001,0.050000001,0.050005119,0.050000001,0.050000053,0.050000146,0.050000001,0.549994707,0.050000001
