Year,PPP,Exchange,GDP,vector_1,vector_2,vector_3,vector_4,vector_5,vector_6,vector_7,vector_8,vector_9,vector_10
1981,1.892582,1.964241666,1.09E+11,0.050000004,0.050000004,0.050000001,0.549967468,0.050020501,0.050007582,0.050004419,0.050000001,0.050000001,0.050000001
1982,1.913434,2.030274999,1.12E+11,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001
1983,1.884895,2.099141666,1.11E+11,0.046312362,0.046289951,0.046276376,0.046282955,0.046281639,0.046276417,0.046279252,0.046276379,0.583186686,0.046537977
1984,1.887659,2.349683333,1.06E+11,0.050000004,0.050000001,0.050000001,0.050005119,0.050000001,0.050000053,0.050000146,0.050000001,0.549994707,0.050000001
1985,1.871343,2.457125,1.08E+11,0.041442785,0.041439794,0.041437969,0.041443393,0.041438676,0.041438021,0.041438486,0.041437969,0.32851848,0.33996442
1986,1.890066,1.798916667,1.54E+11,0.050000004,0.050000001,0.050000001,0.050005127,0.050000001,0.050000053,0.050000146,0.050000001,0.549994707,0.050000001
1987,1.88492,1.491191667,1.93E+11,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001
1988,1.871498,1.4633,2.09E+11,0.050000004,0.050000001,0.050000001,0.050007649,0.050000001,0.050000053,0.050000146,0.050000001,0.549992204,0.050000001
1989,1.86318,1.635925,2.02E+11,0.041442763,0.041441482,0.041451663,0.041439004,0.041438807,0.041438989,0.041439872,0.323390782,0.041438453,0.34507814
1990,1.936289,1.389158333,2.58E+11,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001
1991,1.97426,1.433991667,2.61E+11,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001
1992,1.971282,1.406218333,2.72E+11,0.050000008,0.050000008,0.050000004,0.549963236,0.050024748,0.050007608,0.050004434,0.050000004,0.050000004,0.050000004
1993,1.970372,1.477616667,2.64E+11,0.036607832,0.036604546,0.036620226,0.036611211,0.481612295,0.036613401,0.036606539,0.036602538,0.036603138,0.225518256
1994,1.952026,1.3676925,2.93E+11,0.050000004,0.05000167,0.0500101,0.050000653,0.050000135,0.050000995,0.050001502,0.549984872,0.050000079,0.050000001
1995,1.926041,1.182469167,3.43E+11,0.0427051,0.0427051,0.042718671,0.042719387,0.615611315,0.042715836,0.042709194,0.042705096,0.042705216,0.042705096
1996,1.891189,1.23601,3.30E+11,0.036892574,0.03689437,0.224601984,0.480181098,0.036909148,0.036904369,0.036898181,0.036917243,0.036908455,0.036892567
1997,1.844334,1.4513125,2.87E+11,0.041437976,0.041439302,0.627026558,0.041438494,0.041441765,0.041442826,0.041440163,0.041456848,0.041438114,0.041437972
1998,1.827663,1.449813308,2.95E+11,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001
