Year,PPP,Exchange,GDP,vector_1,vector_2,vector_3,vector_4,vector_5,vector_6,vector_7,vector_8,vector_9,vector_10
1981,0.511874,0.497641332,5.41E+11,0.050000004,0.050000004,0.050000001,0.549967468,0.050020501,0.050007582,0.050004419,0.050000001,0.050000001,0.050000001
1982,0.517855,0.572446832,5.15E+11,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001
1983,0.523865,0.659724582,4.90E+11,0.046312362,0.046289951,0.046276376,0.046282955,0.046281639,0.046276417,0.046279252,0.046276379,0.583186686,0.046537977
1984,0.531057,0.751806666,4.61E+11,0.050000004,0.050000001,0.050000001,0.050005119,0.050000001,0.050000053,0.050000146,0.050000001,0.549994707,0.050000001
1985,0.54315,0.779246,4.89E+11,0.041442785,0.041439794,0.041437969,0.041443393,0.041438676,0.041438021,0.041438486,0.041437969,0.32851848,0.33996442
1986,0.55551,0.682197333,6.01E+11,0.050000004,0.050000001,0.050000001,0.050005127,0.050000001,0.050000053,0.050000146,0.050000001,0.549994707,0.050000001
1987,0.5716,0.6119265,7.45E+11,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001
1988,0.585987,0.562170167,9.10E+11,0.050000004,0.050000001,0.050000001,0.050007649,0.050000001,0.050000053,0.050000146,0.050000001,0.549992204,0.050000001
1989,0.60863,0.61117275,9.27E+11,0.041442763,0.041441482,0.041451663,0.041439004,0.041438807,0.041438989,0.041439872,0.323390782,0.041438453,0.34507814
1990,0.632935,0.563177167,1.09E+12,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001
1991,0.65153,0.567015333,1.14E+12,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001
1992,0.658168,0.569774167,1.18E+12,0.050000008,0.050000008,0.050000004,0.549963236,0.050024748,0.050007608,0.050004434,0.050000004,0.050000004,0.050000004
1993,0.660507,0.666756553,1.06E+12,0.036607832,0.036604546,0.036620226,0.036611211,0.481612295,0.036613401,0.036606539,0.036602538,0.036603138,0.225518256
1994,0.65571,0.653426604,1.14E+12,0.050000004,0.05000167,0.0500101,0.050000653,0.050000135,0.050000995,0.050001502,0.549984872,0.050000079,0.050000001
1995,0.714632,0.63366812,1.34E+12,0.0427051,0.0427051,0.042718671,0.042719387,0.615611315,0.042715836,0.042709194,0.042705096,0.042705216,0.042705096
1996,0.714617,0.640958255,1.42E+12,0.036892574,0.03689437,0.224601984,0.480181098,0.036909148,0.036904369,0.036898181,0.036917243,0.036908455,0.036892567
1997,0.708919,0.610836114,1.56E+12,0.041437976,0.041439302,0.627026558,0.041438494,0.041441765,0.041442826,0.041440163,0.041456848,0.041438114,0.041437972
1998,0.720742,0.603823594,1.65E+12,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001
1999,0.725819,0.618056845,1.68E+12,0.050004922,0.050001863,0.050000001,0.050000384,0.050000723,0.050000001,0.050000381,0.050000001,0.050000414,0.54999131
2000,0.704306,0.660930833,1.66E+12,0.038130507,0.038130503,0.038154274,0.356684774,0.338188291,0.038145214,0.038135488,0.038130499,0.038169943,0.038130499
2001,0.694382,0.694655,1.64E+12,0.049999997,0.049999997,0.049999993,0.549963057,0.050024897,0.050007597,0.050004423,0.049999993,0.049999993,0.049999993
2002,0.689877,0.667223333,1.78E+12,0.040088315,0.040088449,0.040130474,0.553140342,0.040086918,0.040082969,0.040085312,0.040205315,0.040075123,0.126016736
2003,0.696596,0.6124725,2.05E+12,0.038378056,0.038383428,0.038479548,0.03837407,0.654131532,0.038371906,0.038376864,0.038639419,0.038358215,0.038506933
2004,0.68841,0.54618,2.42E+12,0.041437972,0.041437972,0.041437969,0.627009034,0.041445646,0.041440919,0.041439869,0.041437969,0.041474719,0.041437969
2005,0.707619,0.549998333,2.54E+12,0.050004952,0.050001867,0.050000004,0.050000388,0.050000727,0.050000004,0.050000384,0.050000004,0.050000418,0.54999131
