Year,PPP,Exchange,GDP,vector_1,vector_2,vector_3,vector_4,vector_5,vector_6,vector_7,vector_8,vector_9,vector_10,vector_11,vector_12,vector_13,vector_14,vector_15
1981,1.134429,1.198903121,3.06E+11,0.033333346,0.033333335,0.033333335,0.033333335,0.033333339,0.533333182,0.033333335,0.03333335,0.033333335,0.03333335,0.033333339,0.033333335,0.033333335,0.033333465,0.033333335
1982,1.162983,1.233734912,3.14E+11,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667
1983,1.183882,1.232411827,3.41E+11,0.030850913,0.030851325,0.030854151,0.483276844,0.030851007,0.030850917,0.115656942,0.030850934,0.030850913,0.030850925,0.030850917,0.03085099,0.030851321,0.030850917,0.030850977
1984,1.183059,1.295065611,3.55E+11,0.033333335,0.03333338,0.033333335,0.533333182,0.033333335,0.033333335,0.03333338,0.03333335,0.033333335,0.033333343,0.033333335,0.033333335,0.033333354,0.033333339,0.033333335
1985,1.18508,1.365507392,3.65E+11,0.027625315,0.027625378,0.331274629,0.309596002,0.027625317,0.027625315,0.027625419,0.02762533,0.027625315,0.027625324,0.027625315,0.027625317,0.027625354,0.02762532,0.027625317
1986,1.197798,1.389471059,3.77E+11,0.033333335,0.03333338,0.033333335,0.533333182,0.033333335,0.033333335,0.03333338,0.03333335,0.033333335,0.033333343,0.033333335,0.033333335,0.033333354,0.033333339,0.033333335
1987,1.224895,1.325982582,4.31E+11,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667
1988,1.236884,1.230700847,5.07E+11,0.033333335,0.03333338,0.033333335,0.533333182,0.033333335,0.033333335,0.03333338,0.03333335,0.033333335,0.033333343,0.033333335,0.033333335,0.033333354,0.033333339,0.033333335
1989,1.246188,1.183972084,5.65E+11,0.027625339,0.027625334,0.325702965,0.027625315,0.027625317,0.027625315,0.027625369,0.027625315,0.027625315,0.027625315,0.027625315,0.027625524,0.027625334,0.027625317,0.315167606
1990,1.241965,1.166773627,5.94E+11,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667
