Year,PPP,Exchange,GDP,vector_1,vector_2,vector_3,vector_4,vector_5,vector_6,vector_7,vector_8,vector_9,vector_10,vector_11,vector_12,vector_13,vector_14,vector_15
1981,1.408056,1.704541666,1.96E+11,0.033333346,0.033333335,0.033333335,0.033333335,0.033333339,0.533333182,0.033333335,0.03333335,0.033333335,0.03333335,0.033333339,0.033333335,0.033333335,0.033333465,0.033333335
1982,1.324266,1.892541666,2.05E+11,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667
1983,1.289093,1.975674999,2.31E+11,0.030850913,0.030851325,0.030854151,0.483276844,0.030851007,0.030850917,0.115656942,0.030850934,0.030850913,0.030850925,0.030850917,0.03085099,0.030851321,0.030850917,0.030850977
1984,1.305713,2.320041666,2.60E+11,0.033333335,0.03333338,0.033333335,0.533333182,0.033333335,0.033333335,0.03333338,0.03333335,0.033333335,0.033333343,0.033333335,0.033333335,0.033333354,0.033333339,0.033333335
1985,1.394914,2.936658333,3.09E+11,0.027625315,0.027625378,0.331274629,0.309596002,0.027625317,0.027625315,0.027625419,0.02762533,0.027625315,0.027625324,0.027625315,0.027625317,0.027625354,0.02762532,0.027625317
1986,1.43123,3.452791667,3.01E+11,0.033333335,0.03333338,0.033333335,0.533333182,0.033333335,0.033333335,0.03333338,0.03333335,0.033333335,0.033333343,0.033333335,0.033333335,0.033333354,0.033333339,0.033333335
1987,1.46767,3.7221,2.73E+11,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667
1988,1.58932,3.7221,3.12E+11,0.033333335,0.03333338,0.033333335,0.533333182,0.033333335,0.033333335,0.03333338,0.03333335,0.033333335,0.033333343,0.033333335,0.033333335,0.033333354,0.033333339,0.033333335
1989,1.660909,3.765108333,3.48E+11,0.027625339,0.027625334,0.325702965,0.027625315,0.027625317,0.027625315,0.027625369,0.027625315,0.027625315,0.027625315,0.027625315,0.027625524,0.027625334,0.027625317,0.315167606
1990,1.692148,4.783208333,3.61E+11,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667
1991,1.746699,5.323391667,3.83E+11,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667
1992,1.847653,5.514591667,4.27E+11,0.033333346,0.033333335,0.033333335,0.033333335,0.033333339,0.533333123,0.033333335,0.03333335,0.033333335,0.03333335,0.033333339,0.033333335,0.033333335,0.033333454,0.033333335
1993,2.078978,5.761958333,4.45E+11,0.024401702,0.024401715,0.235726431,0.024401696,0.024401713,0.024401763,0.024401754,0.024401702,0.024401696,0.024401702,0.024401698,0.024401816,0.024401715,0.447051167,0.02440176
1994,2.455173,8.618742667,5.64E+11,0.033333357,0.033333335,0.033333335,0.033333335,0.033333335,0.033333335,0.033333335,0.033333335,0.033333335,0.033333335,0.033333335,0.033333492,0.033333335,0.033333339,0.533333123
1995,2.733376,8.351416667,7.35E+11,0.028470071,0.028470065,0.028470065,0.028470065,0.028470075,0.028470317,0.028470065,0.028470075,0.028470065,0.028470075,0.028470067,0.028470151,0.028470065,0.601418614,0.02847011
1996,2.858882,8.314175,8.64E+11,0.024595138,0.024595182,0.024595045,0.024595533,0.02459505,0.024595106,0.024595188,0.024595097,0.024595045,0.024595082,0.024595048,0.024595579,0.024595106,0.655667186,0.024595626
1997,2.855852,8.289816667,9.62E+11,0.027625324,0.027625315,0.027625315,0.027625315,0.02762532,0.027625315,0.027625315,0.027625315,0.027625315,0.027625315,0.027625315,0.613245368,0.027625315,0.027625343,0.027625537
1998,2.798643,8.278958333,1.03E+12,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667
1999,2.723965,8.27825,1.09E+12,0.033333335,0.033333354,0.533333242,0.033333335,0.033333339,0.033333335,0.033333391,0.033333335,0.033333335,0.033333335,0.033333335,0.033333339,0.033333354,0.033333335,0.033333339
2000,2.719364,8.278504167,1.21E+12,0.02542034,0.025420543,0.02542033,0.025421124,0.025420336,0.025420394,0.025420552,0.025420411,0.02542033,0.025420383,0.025420334,0.025420388,0.025420424,0.644113719,0.025420358
2001,2.715469,8.277068333,1.34E+12,0.033333346,0.033333335,0.033333335,0.033333335,0.033333339,0.533333182,0.033333335,0.03333335,0.033333335,0.03333335,0.033333339,0.033333335,0.033333335,0.033333454,0.033333335
2002,2.689281,8.2769575,1.47E+12,0.026715685,0.026715662,0.145439878,0.026715614,0.026715629,0.392186552,0.026715754,0.026715625,0.026715614,0.026715625,0.026715618,0.026715979,0.026715662,0.026715724,0.141785339
2003,2.70898,8.277036667,1.66E+12,0.025570326,0.025570266,0.163653508,0.025570232,0.025570245,0.025570329,0.025570333,0.025570244,0.025570232,0.02557024,0.025570234,0.02557075,0.025570266,0.503931999,0.025570804
2004,2.821351,8.276800833,1.96E+12,0.027625324,0.027625361,0.027625315,0.309596032,0.02762532,0.331274509,0.027625361,0.027625343,0.027625315,0.027625335,0.027625317,0.027625315,0.027625334,0.027625477,0.027625315
2005,2.842933,8.194316667,2.29E+12,0.033333335,0.033333354,0.533333242,0.033333335,0.033333339,0.033333335,0.033333391,0.033333335,0.033333335,0.033333335,0.033333335,0.033333339,0.033333354,0.033333335,0.033333339
2006,2.867778,7.973438333,2.75E+12,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667
2007,3.009186,7.6075325,3.55E+12,0.033333339,0.033333384,0.033333339,0.533333182,0.033333339,0.033333339,0.033333384,0.033333354,0.033333339,0.033333346,0.033333339,0.033333339,0.033333357,0.033333343,0.033333339
2008,3.181871,6.948655,4.59E+12,0.033333357,0.033333335,0.033333335,0.033333335,0.033333335,0.033333335,0.033333335,0.033333335,0.033333335,0.033333335,0.033333335,0.033333469,0.033333335,0.033333339,0.533333182
