Year,PPP,Exchange,GDP,vector_1,vector_2,vector_3,vector_4,vector_5,vector_6,vector_7,vector_8,vector_9,vector_10,vector_11,vector_12,vector_13,vector_14,vector_15
1981,3.379142,8.658522817,1.93E+11,0.033333346,0.033333335,0.033333335,0.033333335,0.033333339,0.533333182,0.033333335,0.03333335,0.033333335,0.03333335,0.033333339,0.033333335,0.033333335,0.033333465,0.033333335
1982,3.429847,9.455131933,2.01E+11,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667
1983,3.596462,10.09889824,2.18E+11,0.030850913,0.030851325,0.030854151,0.483276844,0.030851007,0.030850917,0.115656942,0.030850934,0.030850913,0.030850925,0.030850917,0.03085099,0.030851321,0.030850917,0.030850977
1984,3.732936,11.36258333,2.12E+11,0.033333335,0.03333338,0.033333335,0.533333182,0.033333335,0.033333335,0.03333338,0.03333335,0.033333335,0.033333343,0.033333335,0.033333335,0.033333354,0.033333339,0.033333335
1985,3.85735,12.36875,2.33E+11,0.027625315,0.027625378,0.331274629,0.309596002,0.027625317,0.027625315,0.027625419,0.02762533,0.027625315,0.027625324,0.027625315,0.027625317,0.027625354,0.02762532,0.027625317
1986,4.421835,12.61083333,2.49E+11,0.033333335,0.03333338,0.033333335,0.533333182,0.033333335,0.033333335,0.03333338,0.03333335,0.033333335,0.033333343,0.033333335,0.033333335,0.033333354,0.033333339,0.033333335
1987,4.717656,12.9615,2.79E+11,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667
1988,4.932062,13.91708333,2.97E+11,0.033333335,0.03333338,0.033333335,0.533333182,0.033333335,0.033333335,0.03333338,0.03333335,0.033333335,0.033333343,0.033333335,0.033333335,0.033333354,0.033333339,0.033333335
1989,5.146414,16.2255,2.96E+11,0.027625339,0.027625334,0.325702965,0.027625315,0.027625317,0.027625315,0.027625369,0.027625315,0.027625315,0.027625315,0.027625315,0.027625524,0.027625334,0.027625317,0.315167606
1990,5.489942,17.5035,3.21E+11,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667
1991,6.040629,22.74243333,2.70E+11,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667
1992,6.435521,25.91808333,2.88E+11,0.033333346,0.033333335,0.033333335,0.033333335,0.033333339,0.533333123,0.033333335,0.03333335,0.033333335,0.03333335,0.033333339,0.033333335,0.033333335,0.033333454,0.033333335
1993,6.906543,30.49329167,2.79E+11,0.024401702,0.024401715,0.235726431,0.024401696,0.024401713,0.024401763,0.024401754,0.024401702,0.024401696,0.024401702,0.024401698,0.024401816,0.024401715,0.447051167,0.02440176
1994,7.437011,31.3737425,3.27E+11,0.033333357,0.033333335,0.033333335,0.033333335,0.033333335,0.033333335,0.033333335,0.033333335,0.033333335,0.033333335,0.033333335,0.033333492,0.033333335,0.033333339,0.533333123
1995,7.944424,32.42707667,3.60E+11,0.028470071,0.028470065,0.028470065,0.028470065,0.028470075,0.028470317,0.028470065,0.028470075,0.028470065,0.028470075,0.028470067,0.028470151,0.028470065,0.601418614,0.02847011
1996,8.392545,35.43317333,3.93E+11,0.024595138,0.024595182,0.024595045,0.024595533,0.02459505,0.024595106,0.024595188,0.024595097,0.024595045,0.024595082,0.024595048,0.024595579,0.024595106,0.655667186,0.024595626
1997,8.784588,36.31328583,4.16E+11,0.027625324,0.027625315,0.027625315,0.027625315,0.02762532,0.027625315,0.027625315,0.027625315,0.027625315,0.027625315,0.027625315,0.613245368,0.027625315,0.027625343,0.027625537
1998,9.382645,41.259365,4.21E+11,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667
1999,9.532905,43.05542833,4.59E+11,0.033333335,0.033333354,0.533333242,0.033333335,0.033333339,0.033333335,0.033333391,0.033333335,0.033333335,0.033333335,0.033333335,0.033333339,0.033333354,0.033333335,0.033333339
2000,9.664333,44.941605,4.68E+11,0.02542034,0.025420543,0.02542033,0.025421124,0.025420336,0.025420394,0.025420552,0.025420411,0.02542033,0.025420383,0.025420334,0.025420388,0.025420424,0.644113719,0.025420358
2001,9.761001,47.18641417,4.85E+11,0.033333346,0.033333335,0.033333335,0.033333335,0.033333339,0.533333182,0.033333335,0.03333335,0.033333335,0.03333335,0.033333339,0.033333335,0.033333335,0.033333454,0.033333335
2002,9.966049,48.61031917,5.15E+11,0.026715685,0.026715662,0.145439878,0.026715614,0.026715629,0.392186552,0.026715754,0.026715625,0.026715614,0.026715625,0.026715618,0.026715979,0.026715662,0.026715724,0.141785339
2003,10.162784,46.58328417,6.08E+11,0.025570326,0.025570266,0.163653508,0.025570232,0.025570245,0.025570329,0.025570333,0.025570244,0.025570232,0.02557024,0.025570234,0.02557075,0.025570266,0.503931999,0.025570804
2004,10.46296,45.31646667,7.09E+11,0.027625324,0.027625361,0.027625315,0.309596032,0.02762532,0.331274509,0.027625361,0.027625343,0.027625315,0.027625335,0.027625317,0.027625315,0.027625334,0.027625477,0.027625315
2005,10.717338,44.099975,8.20E+11,0.033333335,0.033333354,0.533333242,0.033333335,0.033333339,0.033333335,0.033333391,0.033333335,0.033333335,0.033333335,0.033333335,0.033333339,0.033333354,0.033333335,0.033333339
2006,11.276447,45.30700833,9.40E+11,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667
2007,11.744053,41.34853333,1.22E+12,0.033333339,0.033333384,0.033333339,0.533333182,0.033333339,0.033333339,0.033333384,0.033333354,0.033333339,0.033333346,0.033333339,0.033333339,0.033333357,0.033333343,0.033333339
2008,12.579117,43.50518333,1.20E+12,0.033333357,0.033333335,0.033333335,0.033333335,0.033333335,0.033333335,0.033333335,0.033333335,0.033333335,0.033333335,0.033333335,0.033333469,0.033333335,0.033333339,0.533333182
2009,13.362861,48.40526667,1.34E+12,0.02762532,0.027625311,0.027625311,0.027625311,0.027625317,0.027625311,0.027625311,0.027625311,0.027625311,0.027625311,0.027625311,0.613245547,0.027625311,0.027625339,0.027625401
2010,14.599321,45.72581212,1.68E+12,0.027625324,0.027625315,0.027625315,0.027625315,0.02762532,0.027625315,0.027625315,0.027625315,0.027625315,0.027625315,0.027625315,0.613245487,0.027625315,0.027625343,0.027625404
2011,15.549549,46.67046667,1.82E+12,0.033333335,0.033333354,0.533333182,0.033333335,0.033333339,0.033333335,0.033333391,0.033333335,0.033333335,0.033333335,0.033333335,0.033333339,0.033333354,0.033333335,0.033333339
2012,16.160835,53.43723333,1.83E+12,0.033333335,0.033333354,0.533333242,0.033333335,0.033333339,0.033333335,0.033333391,0.033333335,0.033333335,0.033333335,0.033333335,0.033333339,0.033333354,0.033333335,0.033333339
2013,17.342325,58.59784542,1.86E+12,0.033333361,0.033333335,0.033333335,0.033333335,0.033333335,0.033333335,0.033333335,0.033333335,0.033333335,0.033333335,0.033333335,0.033333693,0.033333335,0.033333339,0.533332944
2014,18.386549,61.02951446,2.04E+12,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667
2015,19.235003,64.15194446,2.10E+12,0.033333335,0.033333331,0.033333331,0.033333331,0.033333343,0.033333331,0.033333331,0.033333331,0.033333331,0.033333331,0.033333331,0.533333123,0.033333331,0.033333402,0.033333436
2016,19.898727,67.19531281,2.29E+12,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667
2017,20.647793,65.12156865,2.65E+12,0.033333335,0.03333338,0.033333335,0.533333182,0.033333335,0.033333335,0.03333338,0.03333335,0.033333335,0.033333343,0.033333335,0.033333335,0.033333354,0.033333339,0.033333335
2018,21.075024,68.38946709,2.71E+12,0.02441136,0.024411395,0.024411349,0.227342308,0.024411354,0.024411349,0.024411397,0.024411365,0.024411349,0.02441136,0.024411349,0.455309927,0.024411371,0.024411378,0.024411436
