Year,PPP,Exchange,GDP,vector_1,vector_2,vector_3,vector_4,vector_5,vector_6,vector_7,vector_8,vector_9,vector_10,vector_11,vector_12,vector_13,vector_14,vector_15
1981,228.831006,220.5358333,1.22E+12,0.033333346,0.033333335,0.033333335,0.033333335,0.033333339,0.533333182,0.033333335,0.03333335,0.033333335,0.03333335,0.033333339,0.033333335,0.033333335,0.033333465,0.033333335
1982,219.276639,249.0766667,1.13E+12,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667
1983,213.007241,237.5116667,1.24E+12,0.030850913,0.030851325,0.030854151,0.483276844,0.030851007,0.030850917,0.115656942,0.030850934,0.030850913,0.030850925,0.030850917,0.03085099,0.030851321,0.030850917,0.030850977
1984,208.619258,237.5225,1.32E+12,0.033333335,0.03333338,0.033333335,0.533333182,0.033333335,0.033333335,0.03333338,0.03333335,0.033333335,0.033333343,0.033333335,0.033333335,0.033333354,0.033333339,0.033333335
1985,204.772357,238.5358333,1.40E+12,0.027625315,0.027625378,0.331274629,0.309596002,0.027625317,0.027625315,0.027625419,0.02762533,0.027625315,0.027625324,0.027625315,0.027625317,0.027625354,0.02762532,0.027625317
1986,203.966037,168.5198333,2.08E+12,0.033333335,0.03333338,0.033333335,0.533333182,0.033333335,0.033333335,0.03333338,0.03333335,0.033333335,0.033333343,0.033333335,0.033333335,0.033333354,0.033333339,0.033333335
1987,198.730394,144.6375,2.53E+12,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667
1988,193.159463,128.1516667,3.07E+12,0.033333335,0.03333338,0.033333335,0.533333182,0.033333335,0.033333335,0.03333338,0.03333335,0.033333335,0.033333343,0.033333335,0.033333335,0.033333354,0.033333339,0.033333335
1989,189.792476,137.9644167,3.05E+12,0.027625339,0.027625334,0.325702965,0.027625315,0.027625317,0.027625315,0.027625369,0.027625315,0.027625315,0.027625315,0.027625315,0.027625524,0.027625334,0.027625317,0.315167606
1990,187.710514,144.7925,3.13E+12,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667
1991,186.886354,134.7066667,3.58E+12,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667
