Year,PPP,Exchange,GDP,vector_1,vector_2,vector_3,vector_4,vector_5,vector_6,vector_7,vector_8,vector_9,vector_10,vector_11,vector_12,vector_13,vector_14,vector_15
1981,0.511874,0.497641332,5.41E+11,0.033333346,0.033333335,0.033333335,0.033333335,0.033333339,0.533333182,0.033333335,0.03333335,0.033333335,0.03333335,0.033333339,0.033333335,0.033333335,0.033333465,0.033333335
1982,0.517855,0.572446832,5.15E+11,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667
1983,0.523865,0.659724582,4.90E+11,0.030850913,0.030851325,0.030854151,0.483276844,0.030851007,0.030850917,0.115656942,0.030850934,0.030850913,0.030850925,0.030850917,0.03085099,0.030851321,0.030850917,0.030850977
1984,0.531057,0.751806666,4.61E+11,0.033333335,0.03333338,0.033333335,0.533333182,0.033333335,0.033333335,0.03333338,0.03333335,0.033333335,0.033333343,0.033333335,0.033333335,0.033333354,0.033333339,0.033333335
1985,0.54315,0.779246,4.89E+11,0.027625315,0.027625378,0.331274629,0.309596002,0.027625317,0.027625315,0.027625419,0.02762533,0.027625315,0.027625324,0.027625315,0.027625317,0.027625354,0.02762532,0.027625317
1986,0.55551,0.682197333,6.01E+11,0.033333335,0.03333338,0.033333335,0.533333182,0.033333335,0.033333335,0.03333338,0.03333335,0.033333335,0.033333343,0.033333335,0.033333335,0.033333354,0.033333339,0.033333335
1987,0.5716,0.6119265,7.45E+11,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667
1988,0.585987,0.562170167,9.10E+11,0.033333335,0.03333338,0.033333335,0.533333182,0.033333335,0.033333335,0.03333338,0.03333335,0.033333335,0.033333343,0.033333335,0.033333335,0.033333354,0.033333339,0.033333335
1989,0.60863,0.61117275,9.27E+11,0.027625339,0.027625334,0.325702965,0.027625315,0.027625317,0.027625315,0.027625369,0.027625315,0.027625315,0.027625315,0.027625315,0.027625524,0.027625334,0.027625317,0.315167606
1990,0.632935,0.563177167,1.09E+12,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667
1991,0.65153,0.567015333,1.14E+12,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667
1992,0.658168,0.569774167,1.18E+12,0.033333346,0.033333335,0.033333335,0.033333335,0.033333339,0.533333123,0.033333335,0.03333335,0.033333335,0.03333335,0.033333339,0.033333335,0.033333335,0.033333454,0.033333335
1993,0.660507,0.666756553,1.06E+12,0.024401702,0.024401715,0.235726431,0.024401696,0.024401713,0.024401763,0.024401754,0.024401702,0.024401696,0.024401702,0.024401698,0.024401816,0.024401715,0.447051167,0.02440176
1994,0.65571,0.653426604,1.14E+12,0.033333357,0.033333335,0.033333335,0.033333335,0.033333335,0.033333335,0.033333335,0.033333335,0.033333335,0.033333335,0.033333335,0.033333492,0.033333335,0.033333339,0.533333123
1995,0.714632,0.63366812,1.34E+12,0.028470071,0.028470065,0.028470065,0.028470065,0.028470075,0.028470317,0.028470065,0.028470075,0.028470065,0.028470075,0.028470067,0.028470151,0.028470065,0.601418614,0.02847011
1996,0.714617,0.640958255,1.42E+12,0.024595138,0.024595182,0.024595045,0.024595533,0.02459505,0.024595106,0.024595188,0.024595097,0.024595045,0.024595082,0.024595048,0.024595579,0.024595106,0.655667186,0.024595626
1997,0.708919,0.610836114,1.56E+12,0.027625324,0.027625315,0.027625315,0.027625315,0.02762532,0.027625315,0.027625315,0.027625315,0.027625315,0.027625315,0.027625315,0.613245368,0.027625315,0.027625343,0.027625537
1998,0.720742,0.603823594,1.65E+12,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667
1999,0.725819,0.618056845,1.68E+12,0.033333335,0.033333354,0.533333242,0.033333335,0.033333339,0.033333335,0.033333391,0.033333335,0.033333335,0.033333335,0.033333335,0.033333339,0.033333354,0.033333335,0.033333339
2000,0.704306,0.660930833,1.66E+12,0.02542034,0.025420543,0.02542033,0.025421124,0.025420336,0.025420394,0.025420552,0.025420411,0.02542033,0.025420383,0.025420334,0.025420388,0.025420424,0.644113719,0.025420358
2001,0.694382,0.694655,1.64E+12,0.033333346,0.033333335,0.033333335,0.033333335,0.033333339,0.533333182,0.033333335,0.03333335,0.033333335,0.03333335,0.033333339,0.033333335,0.033333335,0.033333454,0.033333335
2002,0.689877,0.667223333,1.78E+12,0.026715685,0.026715662,0.145439878,0.026715614,0.026715629,0.392186552,0.026715754,0.026715625,0.026715614,0.026715625,0.026715618,0.026715979,0.026715662,0.026715724,0.141785339
2003,0.696596,0.6124725,2.05E+12,0.025570326,0.025570266,0.163653508,0.025570232,0.025570245,0.025570329,0.025570333,0.025570244,0.025570232,0.02557024,0.025570234,0.02557075,0.025570266,0.503931999,0.025570804
2004,0.68841,0.54618,2.42E+12,0.027625324,0.027625361,0.027625315,0.309596032,0.02762532,0.331274509,0.027625361,0.027625343,0.027625315,0.027625335,0.027625317,0.027625315,0.027625334,0.027625477,0.027625315
2005,0.707619,0.549998333,2.54E+12,0.033333335,0.033333354,0.533333242,0.033333335,0.033333339,0.033333335,0.033333391,0.033333335,0.033333335,0.033333335,0.033333335,0.033333339,0.033333354,0.033333335,0.033333339
2006,0.69742,0.543486667,2.71E+12,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667
2007,0.7101,0.499771667,3.10E+12,0.033333339,0.033333384,0.033333339,0.533333182,0.033333339,0.033333339,0.033333384,0.033333354,0.033333339,0.033333346,0.033333339,0.033333339,0.033333357,0.033333343,0.033333339
2008,0.701691,0.54396625,2.92E+12,0.033333357,0.033333335,0.033333335,0.033333335,0.033333335,0.033333335,0.033333335,0.033333335,0.033333335,0.033333335,0.033333335,0.033333469,0.033333335,0.033333339,0.533333182
2009,0.709551,0.641919263,2.41E+12,0.02762532,0.027625311,0.027625311,0.027625311,0.027625317,0.027625311,0.027625311,0.027625311,0.027625311,0.027625311,0.027625311,0.613245547,0.027625311,0.027625339,0.027625401
2010,0.701707,0.647179346,2.48E+12,0.027625324,0.027625315,0.027625315,0.027625315,0.02762532,0.027625315,0.027625315,0.027625315,0.027625315,0.027625315,0.027625315,0.613245487,0.027625315,0.027625343,0.027625404
2011,0.706052,0.624140836,2.66E+12,0.033333335,0.033333354,0.533333182,0.033333335,0.033333339,0.033333335,0.033333391,0.033333335,0.033333335,0.033333335,0.033333335,0.033333339,0.033333354,0.033333335,0.033333339
2012,0.701634,0.633046989,2.70E+12,0.033333335,0.033333354,0.533333242,0.033333335,0.033333339,0.033333335,0.033333391,0.033333335,0.033333335,0.033333335,0.033333335,0.033333339,0.033333354,0.033333335,0.033333339
2013,0.695248,0.639660578,2.79E+12,0.033333361,0.033333335,0.033333335,0.033333335,0.033333335,0.033333335,0.033333335,0.033333335,0.033333335,0.033333335,0.033333335,0.033333693,0.033333335,0.033333339,0.533332944
2014,0.698444,0.607729627,3.06E+12,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667
2015,0.692551,0.654545479,2.93E+12,0.033333335,0.033333331,0.033333331,0.033333331,0.033333343,0.033333331,0.033333331,0.033333331,0.033333331,0.033333331,0.033333331,0.533333123,0.033333331,0.033333402,0.033333436
2016,0.688603,0.740634464,2.69E+12,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667
2017,0.684601,0.776976682,2.67E+12,0.033333335,0.03333338,0.033333335,0.533333182,0.033333335,0.033333335,0.03333338,0.03333335,0.033333335,0.033333343,0.033333335,0.033333335,0.033333354,0.033333339,0.033333335
2018,0.683551,0.74953154,2.86E+12,0.02441136,0.024411395,0.024411349,0.227342308,0.024411354,0.024411349,0.024411397,0.024411365,0.024411349,0.02441136,0.024411349,0.455309927,0.024411371,0.024411378,0.024411436
