Year,PPP,Exchange,GDP,vector_1,vector_2,vector_3,vector_4,vector_5,vector_6,vector_7,vector_8,vector_9,vector_10,vector_11,vector_12,vector_13,vector_14,vector_15,vector_16,vector_17,vector_18,vector_19,vector_20
1981,1.408056,1.704541666,1.96E+11,0.025,0.025,0.025,0.025,0.025,0.025,0.524999976,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025000002,0.025,0.025
1982,1.324266,1.892541666,2.05E+11,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001
1983,1.289093,1.975674999,2.31E+11,0.023138188,0.023138188,0.478623778,0.02313819,0.023138188,0.023138188,0.023138188,0.023138188,0.023138195,0.023138188,0.023138188,0.023138188,0.023138188,0.023138188,0.023138188,0.104888894,0.02313819,0.023138188,0.02313819,0.023138188
1984,1.305713,2.320041666,2.60E+11,0.025,0.025,0.524999976,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
1985,1.394914,2.936658333,3.09E+11,0.020718984,0.020718984,0.30268985,0.020718986,0.020718984,0.020718984,0.020718984,0.020718984,0.020718986,0.020718984,0.020718984,0.020718984,0.020718984,0.020718984,0.020718984,0.324368387,0.020718984,0.020718984,0.020718984,0.020718984
1986,1.43123,3.452791667,3.01E+11,0.025,0.025,0.524999976,0.025000002,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
1987,1.46767,3.7221,2.73E+11,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001
1988,1.58932,3.7221,3.12E+11,0.025,0.025,0.524999976,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
1989,1.660909,3.765108333,3.48E+11,0.020718984,0.020718984,0.020718984,0.020718984,0.020718984,0.30268988,0.020718984,0.020718984,0.020718986,0.020718984,0.020718984,0.020718984,0.020718984,0.020718984,0.020718984,0.324368387,0.020718984,0.020718984,0.020718984,0.020718984
1990,1.692148,4.783208333,3.61E+11,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001
1991,1.746699,5.323391667,3.83E+11,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001
1992,1.847653,5.514591667,4.27E+11,0.025,0.025,0.025,0.025,0.025,0.025,0.524999976,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
1993,2.078978,5.761958333,4.45E+11,0.018301269,0.018301269,0.018301269,0.018301269,0.018301269,0.018301269,0.229626134,0.018301269,0.018301271,0.229626134,0.018301269,0.018301269,0.018301269,0.018301269,0.018301269,0.229626134,0.018301269,0.018301271,0.018301269,0.018301269
1994,2.455173,8.618742667,5.64E+11,0.025,0.025,0.025,0.025,0.025,0.524999976,0.025,0.025,0.025,0.025,0.025,0.025,0.025000002,0.025,0.025,0.025,0.025,0.025,0.025,0.025
1995,2.733376,8.351416667,7.35E+11,0.02135255,0.02135255,0.02135255,0.02135255,0.02135255,0.02135255,0.021352552,0.02135255,0.02135255,0.021352552,0.02135255,0.02135255,0.02135255,0.02135255,0.02135255,0.02135255,0.02135255,0.594301581,0.02135255,0.02135255
1996,2.858882,8.314175,8.64E+11,0.018446283,0.018446285,0.018446285,0.018446285,0.018446283,0.118497245,0.018446285,0.018446285,0.018446283,0.018446283,0.018446285,0.018446283,0.018446285,0.018446283,0.018446283,0.018446283,0.018446283,0.54946959,0.018446283,0.018446283
1997,2.855852,8.289816667,9.62E+11,0.020718984,0.020718984,0.020718984,0.020718984,0.020718984,0.30268988,0.020718984,0.020718984,0.020718984,0.324368387,0.020718984,0.020718984,0.020718984,0.020718984,0.020718984,0.020718984,0.020718984,0.020718984,0.020718984,0.020718984
1998,2.798643,8.278958333,1.03E+12,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001
1999,2.723965,8.27825,1.09E+12,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.524999976,0.025,0.025,0.025,0.025
2000,2.719364,8.278504167,1.21E+12,0.019065252,0.019065252,0.019065253,0.019065252,0.019065252,0.019065252,0.019065252,0.019065252,0.019065252,0.019065252,0.019065252,0.019065252,0.019065252,0.019065252,0.019065252,0.019065252,0.019065252,0.637760282,0.019065252,0.019065252
2001,2.715469,8.277068333,1.34E+12,0.025,0.025,0.025,0.025,0.025,0.025,0.524999976,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
2002,2.689281,8.2769575,1.47E+12,0.02003671,0.02003671,0.02003671,0.02003671,0.02003671,0.132945329,0.384804577,0.02003671,0.020036712,0.02003671,0.02003671,0.02003671,0.02003671,0.02003671,0.02003671,0.141625986,0.02003671,0.02003671,0.02003671,0.02003671
2003,2.70898,8.277036667,1.66E+12,0.019177673,0.019177683,0.019177673,0.019177673,0.019177673,0.083290271,0.358284444,0.019177673,0.019177677,0.019177698,0.019177685,0.019177673,0.019177685,0.019177675,0.019177675,0.157261133,0.019177675,0.094321258,0.019177673,0.019177673
2004,2.821351,8.276800833,1.96E+12,0.020718984,0.020718984,0.30268985,0.020718986,0.020718984,0.020718984,0.324368387,0.020718984,0.020718984,0.020718984,0.020718984,0.020718984,0.020718984,0.020718984,0.020718984,0.020718984,0.020718984,0.020718984,0.020718984,0.020718984
