Year,PPP,Exchange,GDP,vector_1,vector_2,vector_3,vector_4,vector_5,vector_6,vector_7,vector_8,vector_9,vector_10,vector_11,vector_12,vector_13,vector_14,vector_15,vector_16,vector_17,vector_18,vector_19,vector_20
1981,228.831006,220.5358333,1.22E+12,0.025,0.025,0.025,0.025,0.025,0.025,0.524999976,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025000002,0.025,0.025
1982,219.276639,249.0766667,1.13E+12,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001
1983,213.007241,237.5116667,1.24E+12,0.023138188,0.023138188,0.478623778,0.02313819,0.023138188,0.023138188,0.023138188,0.023138188,0.023138195,0.023138188,0.023138188,0.023138188,0.023138188,0.023138188,0.023138188,0.104888894,0.02313819,0.023138188,0.02313819,0.023138188
1984,208.619258,237.5225,1.32E+12,0.025,0.025,0.524999976,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
1985,204.772357,238.5358333,1.40E+12,0.020718984,0.020718984,0.30268985,0.020718986,0.020718984,0.020718984,0.020718984,0.020718984,0.020718986,0.020718984,0.020718984,0.020718984,0.020718984,0.020718984,0.020718984,0.324368387,0.020718984,0.020718984,0.020718984,0.020718984
1986,203.966037,168.5198333,2.08E+12,0.025,0.025,0.524999976,0.025000002,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
1987,198.730394,144.6375,2.53E+12,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001
1988,193.159463,128.1516667,3.07E+12,0.025,0.025,0.524999976,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
1989,189.792476,137.9644167,3.05E+12,0.020718984,0.020718984,0.020718984,0.020718984,0.020718984,0.30268988,0.020718984,0.020718984,0.020718986,0.020718984,0.020718984,0.020718984,0.020718984,0.020718984,0.020718984,0.324368387,0.020718984,0.020718984,0.020718984,0.020718984
1990,187.710514,144.7925,3.13E+12,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001
