Year,PPP,Exchange,GDP,vector_1,vector_2,vector_3,vector_4,vector_5,vector_6,vector_7,vector_8,vector_9,vector_10,vector_11,vector_12,vector_13,vector_14,vector_15,vector_16,vector_17,vector_18,vector_19,vector_20
1981,0.511874,0.497641332,5.41E+11,0.025,0.025,0.025,0.025,0.025,0.025,0.524999976,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025000002,0.025,0.025
1982,0.517855,0.572446832,5.15E+11,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001
1983,0.523865,0.659724582,4.90E+11,0.023138188,0.023138188,0.478623778,0.02313819,0.023138188,0.023138188,0.023138188,0.023138188,0.023138195,0.023138188,0.023138188,0.023138188,0.023138188,0.023138188,0.023138188,0.104888894,0.02313819,0.023138188,0.02313819,0.023138188
1984,0.531057,0.751806666,4.61E+11,0.025,0.025,0.524999976,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
1985,0.54315,0.779246,4.89E+11,0.020718984,0.020718984,0.30268985,0.020718986,0.020718984,0.020718984,0.020718984,0.020718984,0.020718986,0.020718984,0.020718984,0.020718984,0.020718984,0.020718984,0.020718984,0.324368387,0.020718984,0.020718984,0.020718984,0.020718984
1986,0.55551,0.682197333,6.01E+11,0.025,0.025,0.524999976,0.025000002,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
1987,0.5716,0.6119265,7.45E+11,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001
1988,0.585987,0.562170167,9.10E+11,0.025,0.025,0.524999976,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
1989,0.60863,0.61117275,9.27E+11,0.020718984,0.020718984,0.020718984,0.020718984,0.020718984,0.30268988,0.020718984,0.020718984,0.020718986,0.020718984,0.020718984,0.020718984,0.020718984,0.020718984,0.020718984,0.324368387,0.020718984,0.020718984,0.020718984,0.020718984
1990,0.632935,0.563177167,1.09E+12,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001
1991,0.65153,0.567015333,1.14E+12,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001
1992,0.658168,0.569774167,1.18E+12,0.025,0.025,0.025,0.025,0.025,0.025,0.524999976,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
1993,0.660507,0.666756553,1.06E+12,0.018301269,0.018301269,0.018301269,0.018301269,0.018301269,0.018301269,0.229626134,0.018301269,0.018301271,0.229626134,0.018301269,0.018301269,0.018301269,0.018301269,0.018301269,0.229626134,0.018301269,0.018301271,0.018301269,0.018301269
1994,0.65571,0.653426604,1.14E+12,0.025,0.025,0.025,0.025,0.025,0.524999976,0.025,0.025,0.025,0.025,0.025,0.025,0.025000002,0.025,0.025,0.025,0.025,0.025,0.025,0.025
1995,0.714632,0.63366812,1.34E+12,0.02135255,0.02135255,0.02135255,0.02135255,0.02135255,0.02135255,0.021352552,0.02135255,0.02135255,0.021352552,0.02135255,0.02135255,0.02135255,0.02135255,0.02135255,0.02135255,0.02135255,0.594301581,0.02135255,0.02135255
1996,0.714617,0.640958255,1.42E+12,0.018446283,0.018446285,0.018446285,0.018446285,0.018446283,0.118497245,0.018446285,0.018446285,0.018446283,0.018446283,0.018446285,0.018446283,0.018446285,0.018446283,0.018446283,0.018446283,0.018446283,0.54946959,0.018446283,0.018446283
1997,0.708919,0.610836114,1.56E+12,0.020718984,0.020718984,0.020718984,0.020718984,0.020718984,0.30268988,0.020718984,0.020718984,0.020718984,0.324368387,0.020718984,0.020718984,0.020718984,0.020718984,0.020718984,0.020718984,0.020718984,0.020718984,0.020718984,0.020718984
1998,0.720742,0.603823594,1.65E+12,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001
1999,0.725819,0.618056845,1.68E+12,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.524999976,0.025,0.025,0.025,0.025
2000,0.704306,0.660930833,1.66E+12,0.019065252,0.019065252,0.019065253,0.019065252,0.019065252,0.019065252,0.019065252,0.019065252,0.019065252,0.019065252,0.019065252,0.019065252,0.019065252,0.019065252,0.019065252,0.019065252,0.019065252,0.637760282,0.019065252,0.019065252
2001,0.694382,0.694655,1.64E+12,0.025,0.025,0.025,0.025,0.025,0.025,0.524999976,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
2002,0.689877,0.667223333,1.78E+12,0.02003671,0.02003671,0.02003671,0.02003671,0.02003671,0.132945329,0.384804577,0.02003671,0.020036712,0.02003671,0.02003671,0.02003671,0.02003671,0.02003671,0.02003671,0.141625986,0.02003671,0.02003671,0.02003671,0.02003671
2003,0.696596,0.6124725,2.05E+12,0.019177673,0.019177683,0.019177673,0.019177673,0.019177673,0.083290271,0.358284444,0.019177673,0.019177677,0.019177698,0.019177685,0.019177673,0.019177685,0.019177675,0.019177675,0.157261133,0.019177675,0.094321258,0.019177673,0.019177673
