Year,PPP,GDP,vector_1,vector_2,vector_3,vector_4,vector_5
1981,3.379142,1.93E+11,0.100003481,0.100004263,0.100065716,0.100020111,0.599906445
1982,3.429847,2.01E+11,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003
1983,3.596462,2.18E+11,0.092599005,0.552755415,0.166161418,0.095321476,0.093162693
1984,3.732936,2.12E+11,0.100043222,0.599701762,0.100171596,0.100014508,0.100068919
1985,3.85735,2.33E+11,0.082919635,0.350074261,0.399832487,0.083996743,0.083176851
1986,4.421835,2.49E+11,0.100043163,0.599705696,0.100167871,0.100014493,0.10006877
1987,4.717656,2.79E+11,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003
1988,4.932062,2.97E+11,0.100043193,0.599704087,0.100169435,0.1000145,0.100068808
1989,5.146414,2.96E+11,0.267549187,0.082896054,0.482541502,0.083701871,0.083311386
1990,5.489942,3.21E+11,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003
1991,6.040629,2.70E+11,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003
1992,6.435521,2.88E+11,0.100003481,0.100004263,0.100065663,0.100020111,0.599906504
1993,6.906543,2.79E+11,0.077464178,0.073236361,0.230987176,0.077500053,0.540812254
1994,7.437011,3.27E+11,0.599076569,0.100005232,0.10066171,0.100023136,0.100233331
1995,7.944424,3.60E+11,0.088975057,0.085419193,0.085452057,0.087371908,0.652781725
1996,8.392545,3.93E+11,0.151969075,0.153923392,0.074708074,0.074724279,0.544675231
1997,8.784588,4.16E+11,0.666820049,0.082881123,0.083114356,0.08377856,0.08340589
1998,9.382645,4.21E+11,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003
1999,9.532905,4.59E+11,0.100003518,0.100022681,0.598392785,0.10130626,0.100274742
2000,9.664333,4.68E+11,0.079376571,0.207022712,0.076488934,0.077989407,0.559122384
2001,9.761001,4.85E+11,0.100003481,0.100004263,0.100065656,0.100020111,0.599906504
2002,9.966049,5.15E+11,0.093425386,0.080196239,0.102873117,0.082507506,0.640997708
2003,10.162784,6.08E+11,0.082980968,0.076758884,0.098497152,0.079952486,0.661810517
2004,10.46296,7.09E+11,0.08291965,0.358419895,0.083096936,0.082907416,0.392656118
2005,10.717338,8.20E+11,0.100003518,0.100022666,0.598409712,0.101289533,0.100274548
2006,11.276447,9.40E+11,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003
2007,11.744053,1.22E+12,0.100043185,0.599704623,0.100168861,0.100014493,0.100068808
2008,12.579117,1.20E+12,0.599079847,0.100005239,0.100658573,0.100023136,0.100233249
2009,13.362861,1.34E+12,0.666814446,0.082881123,0.083114415,0.083783887,0.083406121
2010,14.599321,1.68E+12,0.666819215,0.08288113,0.083114363,0.083779328,0.083405972
2011,15.549549,1.82E+12,0.100003503,0.100022644,0.59841609,0.101283252,0.100274459
2012,16.160835,1.83E+12,0.100003518,0.100022681,0.598394513,0.101304568,0.100274727
2013,17.342325,1.86E+12,0.599083483,0.100005232,0.100655027,0.100023128,0.100233153
2014,18.386549,2.04E+12,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003
2015,19.235003,2.10E+12,0.59641397,0.100008234,0.100008093,0.1024222,0.101147562
2016,19.898727,2.29E+12,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003
2017,20.647793,2.65E+12,0.100043185,0.599704802,0.100168735,0.100014493,0.100068778
2018,21.075024,2.71E+12,0.506294668,0.272260159,0.073603615,0.074062839,0.073778689
