Year,PPP,GDP,vector_1,vector_2,vector_3,vector_4,vector_5
1981,1.892582,1.09E+11,0.100003481,0.100004263,0.100065716,0.100020111,0.599906445
1982,1.913434,1.12E+11,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003
1983,1.884895,1.11E+11,0.092599005,0.552755415,0.166161418,0.095321476,0.093162693
1984,1.887659,1.06E+11,0.100043222,0.599701762,0.100171596,0.100014508,0.100068919
1985,1.871343,1.08E+11,0.082919635,0.350074261,0.399832487,0.083996743,0.083176851
1986,1.890066,1.54E+11,0.100043163,0.599705696,0.100167871,0.100014493,0.10006877
1987,1.88492,1.93E+11,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003
1988,1.871498,2.09E+11,0.100043193,0.599704087,0.100169435,0.1000145,0.100068808
1989,1.86318,2.02E+11,0.267549187,0.082896054,0.482541502,0.083701871,0.083311386
1990,1.936289,2.58E+11,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003
1991,1.97426,2.61E+11,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003
1992,1.971282,2.72E+11,0.100003481,0.100004263,0.100065663,0.100020111,0.599906504
1993,1.970372,2.64E+11,0.077464178,0.073236361,0.230987176,0.077500053,0.540812254
1994,1.952026,2.93E+11,0.599076569,0.100005232,0.10066171,0.100023136,0.100233331
1995,1.926041,3.43E+11,0.088975057,0.085419193,0.085452057,0.087371908,0.652781725
1996,1.891189,3.30E+11,0.151969075,0.153923392,0.074708074,0.074724279,0.544675231
1997,1.844334,2.87E+11,0.666820049,0.082881123,0.083114356,0.08377856,0.08340589
1998,1.827663,2.95E+11,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003
1999,1.802836,2.90E+11,0.100003518,0.100022681,0.598392785,0.10130626,0.100274742
2000,1.788109,2.72E+11,0.079376571,0.207022712,0.076488934,0.077989407,0.559122384
2001,1.768379,2.79E+11,0.100003481,0.100004263,0.100065656,0.100020111,0.599906504
2002,1.70976,3.01E+11,0.093425386,0.080196239,0.102873117,0.082507506,0.640997708
2003,1.717018,3.53E+11,0.082980968,0.076758884,0.098497152,0.079952486,0.661810517
2004,1.693209,3.94E+11,0.08291965,0.358419895,0.083096936,0.082907416,0.392656118
2005,1.686548,4.09E+11,0.100003518,0.100022666,0.598409712,0.101289533,0.100274548
2006,1.600989,4.31E+11,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003
2007,1.533994,4.80E+11,0.100043185,0.599704623,0.100168861,0.100014493,0.100068808
2008,1.493049,5.54E+11,0.599079847,0.100005239,0.100658573,0.100023136,0.100233249
2009,1.46898,5.42E+11,0.666814446,0.082881123,0.083114415,0.083783887,0.083406121
2010,1.464944,5.84E+11,0.666819215,0.08288113,0.083114363,0.083779328,0.083405972
2011,1.397498,7.00E+11,0.100003503,0.100022644,0.59841609,0.101283252,0.100274459
2012,1.354072,6.68E+11,0.100003518,0.100022681,0.598394513,0.101304568,0.100274727
2013,1.312477,6.89E+11,0.599083483,0.100005232,0.100655027,0.100023128,0.100233153
2014,1.281761,7.09E+11,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003
2015,1.235788,6.80E+11,0.59641397,0.100008234,0.100008093,0.1024222,0.101147562
2016,1.201964,6.71E+11,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003
2017,1.187726,6.80E+11,0.100043185,0.599704802,0.100168735,0.100014493,0.100068778
2018,1.17868,7.05E+11,0.506294668,0.272260159,0.073603615,0.074062839,0.073778689
