Year,PPP,GDP,vector_1,vector_2,vector_3,vector_4,vector_5
1981,0.511874,5.41E+11,0.100003481,0.100004263,0.100065716,0.100020111,0.599906445
1982,0.517855,5.15E+11,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003
1983,0.523865,4.90E+11,0.092599005,0.552755415,0.166161418,0.095321476,0.093162693
1984,0.531057,4.61E+11,0.100043222,0.599701762,0.100171596,0.100014508,0.100068919
1985,0.54315,4.89E+11,0.082919635,0.350074261,0.399832487,0.083996743,0.083176851
1986,0.55551,6.01E+11,0.100043163,0.599705696,0.100167871,0.100014493,0.10006877
1987,0.5716,7.45E+11,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003
1988,0.585987,9.10E+11,0.100043193,0.599704087,0.100169435,0.1000145,0.100068808
1989,0.60863,9.27E+11,0.267549187,0.082896054,0.482541502,0.083701871,0.083311386
1990,0.632935,1.09E+12,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003
1991,0.65153,1.14E+12,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003
1992,0.658168,1.18E+12,0.100003481,0.100004263,0.100065663,0.100020111,0.599906504
1993,0.660507,1.06E+12,0.077464178,0.073236361,0.230987176,0.077500053,0.540812254
1994,0.65571,1.14E+12,0.599076569,0.100005232,0.10066171,0.100023136,0.100233331
1995,0.714632,1.34E+12,0.088975057,0.085419193,0.085452057,0.087371908,0.652781725
1996,0.714617,1.42E+12,0.151969075,0.153923392,0.074708074,0.074724279,0.544675231
1997,0.708919,1.56E+12,0.666820049,0.082881123,0.083114356,0.08377856,0.08340589
1998,0.720742,1.65E+12,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003
1999,0.725819,1.68E+12,0.100003518,0.100022681,0.598392785,0.10130626,0.100274742
2000,0.704306,1.66E+12,0.079376571,0.207022712,0.076488934,0.077989407,0.559122384
2001,0.694382,1.64E+12,0.100003481,0.100004263,0.100065656,0.100020111,0.599906504
2002,0.689877,1.78E+12,0.093425386,0.080196239,0.102873117,0.082507506,0.640997708
2003,0.696596,2.05E+12,0.082980968,0.076758884,0.098497152,0.079952486,0.661810517
2004,0.68841,2.42E+12,0.08291965,0.358419895,0.083096936,0.082907416,0.392656118
2005,0.707619,2.54E+12,0.100003518,0.100022666,0.598409712,0.101289533,0.100274548
2006,0.69742,2.71E+12,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003
2007,0.7101,3.10E+12,0.100043185,0.599704623,0.100168861,0.100014493,0.100068808
2008,0.701691,2.92E+12,0.599079847,0.100005239,0.100658573,0.100023136,0.100233249
2009,0.709551,2.41E+12,0.666814446,0.082881123,0.083114415,0.083783887,0.083406121
2010,0.701707,2.48E+12,0.666819215,0.08288113,0.083114363,0.083779328,0.083405972
2011,0.706052,2.66E+12,0.100003503,0.100022644,0.59841609,0.101283252,0.100274459
2012,0.701634,2.70E+12,0.100003518,0.100022681,0.598394513,0.101304568,0.100274727
2013,0.695248,2.79E+12,0.599083483,0.100005232,0.100655027,0.100023128,0.100233153
2014,0.698444,3.06E+12,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003
2015,0.692551,2.93E+12,0.59641397,0.100008234,0.100008093,0.1024222,0.101147562
2016,0.688603,2.69E+12,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003
2017,0.684601,2.67E+12,0.100043185,0.599704802,0.100168735,0.100014493,0.100068778
2018,0.683551,2.86E+12,0.506294668,0.272260159,0.073603615,0.074062839,0.073778689
